001, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/ai-assistant.md
002, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/ai-ethics-advisor.md
003, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/hackathon-ai-strategist.md
004, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/llms-maintainer.md
005, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/model-evaluator.md
006, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/prompt-engineer.md
007, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/search-specialist.md
008, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/ai-specialists/task-decomposition-expert.md
009, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/code-quality/code-linter.md
010, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/code-quality/code-reviewer.md
011, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/code-quality/todo-organizer.md
012, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/code-quality/triage-expert.md
013, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/codebase-ready/convention-codifier.md
014, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/codebase-ready/environment-improver.md
015, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/codebase-ready/spec-first-implementer.md
016, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/codebase-ready/test-gap-scanner.md
017, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/codebase-ready/validation-enforcer.md
018, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/context-aware-coder.md
019, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/docs-scraper.md
020, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/dotti.md
021, pending, Add metadata frontmatter (version v1.0.0, author Toptal AgentOps, timestamp 20260120) and align subagent fields, /Users/joe/.claude/agents/core/memory-manager.md
